Track_age_yrs,Track_degradation,Load_cycles_daily,Load_amplitude_avg_N,Balast_thickness_inmm,track_confining_pressure_kPa,curve_radius_mm,tilting_wagon,fracture_strength_level,fracture_strength_value,track_fouling,track_misalignment,rail_material_inhomogenous,humidty_percent,corrosion_index_iso,speed_mph,Accumulated_tonnage_kgpmeter,rail_fall_in_mm,track_quality_index,inspection_interval_yrs
42,TRUE,101,2063,296,150,630,TRUE,4,314,TRUE,FALSE,TRUE,73,3,182,57,77,7,3
54,TRUE,113,1671,359,89,579,TRUE,1,228,TRUE,TRUE,TRUE,83,5,165,55,17,4,4
36,FALSE,48,1985,339,118,630,FALSE,1,293,FALSE,TRUE,FALSE,76,7,159,58,19,6,6
24,TRUE,96,1585,167,40,455,TRUE,4,279,TRUE,TRUE,TRUE,80,2,117,45,82,10,4
52,FALSE,89,2233,298,135,558,,3,296,TRUE,TRUE,TRUE,94,8,111,52,64,4,3
21,FALSE,154,2403,226,167,616,TRUE,4,319,FALSE,FALSE,TRUE,93,7,83,62,31,3,6
37,TRUE,199,2283,337,85,503,TRUE,5,313,FALSE,FALSE,TRUE,93,2,204,59,22,1,6
36,FALSE,81,1814,155,150,510,FALSE,3,296,TRUE,FALSE,FALSE,84,1,116,64,75,4,2
26,FALSE,120,1822,272,19,630,,5,233,TRUE,TRUE,FALSE,73,7,197,63,14,5,4
51,FALSE,199,1545,297,19,591,TRUE,2,291,FALSE,FALSE,TRUE,76,3,101,56,38,5,5
39,TRUE,89,1724,218,132,545,FALSE,1,243,FALSE,TRUE,TRUE,74,1,110,61,52,10,2
55,TRUE,55,1930,218,87,587,TRUE,4,278,FALSE,TRUE,FALSE,84,10,227,64,38,2,3
35,FALSE,80,2283,212,178,547,FALSE,4,323,TRUE,FALSE,FALSE,81,7,182,59,43,5,6
30,FALSE,78,2059,357,36,619,FALSE,1,256,FALSE,TRUE,FALSE,83,9,242,65,39,3,4
21,TRUE,170,1964,313,61,503,TRUE,5,216,TRUE,FALSE,TRUE,77,9,103,61,69,9,2
41,TRUE,74,1935,158,219,504,TRUE,4,254,TRUE,FALSE,TRUE,99,7,190,64,65,5,2
50,FALSE,152,2217,202,118,553,FALSE,1,206,TRUE,FALSE,FALSE,82,9,241,58,16,3,3
52,TRUE,47,2199,351,23,477,FALSE,3,273,TRUE,TRUE,TRUE,90,4,198,60,60,1,3
34,TRUE,191,1915,384,35,513,TRUE,1,216,FALSE,FALSE,TRUE,73,10,119,57,86,3,2
55,FALSE,172,1509,389,131,521,TRUE,5,209,FALSE,TRUE,FALSE,96,9,197,63,50,3,6
46,TRUE,84,2280,396,134,494,FALSE,2,315,FALSE,TRUE,TRUE,91,2,107,55,32,5,2
53,TRUE,84,2146,268,203,456,TRUE,4,265,FALSE,TRUE,TRUE,94,3,79,52,57,1,2
23,FALSE,71,1960,313,52,528,TRUE,5,254,FALSE,FALSE,TRUE,72,3,204,61,64,4,3
40,TRUE,197,1744,212,230,524,FALSE,4,246,TRUE,TRUE,TRUE,75,4,143,64,43,3,4
45,TRUE,96,2122,208,155,476,FALSE,5,235,TRUE,TRUE,TRUE,85,2,225,58,60,6,4
36,TRUE,122,1762,181,45,457,TRUE,3,228,FALSE,TRUE,FALSE,92,6,239,47,29,9,6
29,FALSE,127,2459,305,219,613,TRUE,4,289,TRUE,TRUE,FALSE,72,9,246,53,27,7,3
42,FALSE,160,2532,349,225,546,TRUE,2,266,TRUE,TRUE,TRUE,97,5,128,46,15,6,6
52,FALSE,162,2357,355,76,567,FALSE,5,205,TRUE,TRUE,FALSE,91,5,232,55,80,5,3
23,TRUE,191,2470,400,146,468,FALSE,1,305,FALSE,TRUE,TRUE,99,7,92,57,30,2,4
44,TRUE,55,2073,349,139,528,FALSE,5,310,FALSE,TRUE,TRUE,83,3,126,54,16,1,5
31,TRUE,67,2092,356,15,573,TRUE,1,200,FALSE,FALSE,TRUE,95,8,89,58,27,2,5
38,FALSE,139,2235,190,141,597,,4,258,TRUE,TRUE,FALSE,83,9,228,54,33,2,4
35,FALSE,90,1915,189,62,598,TRUE,2,283,TRUE,TRUE,FALSE,98,10,169,65,78,4,3
48,TRUE,87,2310,396,215,490,FALSE,3,300,TRUE,FALSE,FALSE,70,1,78,63,55,6,5
33,FALSE,150,1913,318,16,525,FALSE,3,239,TRUE,TRUE,TRUE,74,8,214,45,50,1,2
29,TRUE,183,2009,388,49,466,FALSE,4,226,FALSE,TRUE,TRUE,93,4,175,66,61,5,6
44,FALSE,109,2099,163,120,501,FALSE,3,239,TRUE,TRUE,TRUE,71,3,125,46,27,9,6
21,TRUE,193,1729,241,112,608,FALSE,4,283,TRUE,FALSE,TRUE,77,7,180,66,32,6,6
31,FALSE,194,2119,152,177,527,TRUE,4,284,TRUE,FALSE,TRUE,96,9,233,49,69,4,5
24,TRUE,101,1688,361,210,581,FALSE,4,289,TRUE,FALSE,TRUE,70,1,83,65,73,7,4
35,TRUE,152,1886,327,139,496,FALSE,2,253,FALSE,FALSE,TRUE,70,10,238,59,85,7,2
43,FALSE,143,1913,239,161,539,FALSE,1,290,FALSE,TRUE,TRUE,71,10,196,51,31,7,4
34,TRUE,57,1849,314,169,612,FALSE,4,213,FALSE,FALSE,FALSE,96,9,199,49,33,7,3
49,FALSE,196,2031,350,146,527,FALSE,3,330,TRUE,FALSE,TRUE,86,2,107,55,78,9,5
29,FALSE,170,1534,305,188,625,TRUE,5,217,FALSE,TRUE,TRUE,70,1,182,56,46,5,4
54,FALSE,50,1906,304,215,617,TRUE,2,252,FALSE,TRUE,FALSE,71,7,143,63,89,10,5
30,FALSE,155,1793,320,135,613,TRUE,4,329,FALSE,TRUE,FALSE,78,10,202,53,48,1,4
55,FALSE,167,2335,242,33,457,TRUE,2,304,FALSE,FALSE,TRUE,73,6,187,49,27,3,2
28,TRUE,89,1785,375,123,578,FALSE,4,330,TRUE,TRUE,FALSE,87,9,178,52,70,8,6
24,TRUE,43,2302,394,28,468,TRUE,1,262,FALSE,TRUE,FALSE,70,9,184,55,23,5,3
35,FALSE,115,1821,251,169,615,FALSE,4,320,TRUE,FALSE,TRUE,90,9,207,50,59,10,6
35,TRUE,187,1573,288,17,605,,3,292,TRUE,TRUE,FALSE,78,5,118,58,33,8,4
40,FALSE,61,1639,372,21,542,FALSE,1,219,TRUE,FALSE,FALSE,76,10,157,50,23,1,6
35,TRUE,190,2005,288,26,629,FALSE,2,204,FALSE,TRUE,TRUE,95,6,76,62,52,2,3
48,FALSE,97,1786,389,86,590,TRUE,2,326,TRUE,TRUE,TRUE,73,3,82,62,20,5,3
55,FALSE,105,2214,233,188,531,FALSE,1,287,TRUE,FALSE,FALSE,97,5,202,54,16,4,4
51,TRUE,146,1807,220,214,545,TRUE,4,325,TRUE,FALSE,FALSE,75,10,117,59,30,7,6
27,TRUE,188,2503,326,148,501,TRUE,2,250,FALSE,TRUE,FALSE,89,4,161,56,32,4,4
31,FALSE,92,2461,168,75,581,FALSE,4,317,FALSE,TRUE,FALSE,76,9,181,50,70,3,5
20,FALSE,75,2056,368,111,540,,1,232,FALSE,FALSE,FALSE,93,7,176,50,50,5,4
32,TRUE,166,2049,315,90,602,FALSE,5,201,FALSE,TRUE,TRUE,87,6,166,58,19,3,2
41,TRUE,119,2353,397,200,492,FALSE,4,247,FALSE,TRUE,TRUE,100,2,81,56,50,5,3
54,TRUE,83,2148,252,78,451,TRUE,5,301,TRUE,FALSE,TRUE,70,5,206,48,84,2,3
29,FALSE,154,1991,185,19,467,TRUE,2,238,FALSE,TRUE,FALSE,91,1,136,46,55,9,4
26,TRUE,186,2064,174,50,584,TRUE,4,225,FALSE,TRUE,FALSE,73,1,96,60,23,1,3
54,FALSE,172,2364,155,57,538,TRUE,3,288,TRUE,FALSE,FALSE,84,9,247,64,58,3,6
46,FALSE,79,1644,336,88,559,TRUE,3,254,FALSE,TRUE,FALSE,88,8,179,51,73,1,3
33,TRUE,183,2302,162,112,553,TRUE,2,218,FALSE,FALSE,FALSE,89,4,104,49,31,5,4
39,TRUE,179,1792,329,109,580,FALSE,3,307,FALSE,TRUE,TRUE,70,2,239,56,12,4,2
27,TRUE,155,1897,376,49,535,TRUE,5,310,TRUE,TRUE,TRUE,77,1,170,58,61,5,2
38,FALSE,93,2223,181,81,627,TRUE,3,322,TRUE,FALSE,FALSE,88,8,181,65,21,5,2
26,FALSE,171,1575,245,59,614,TRUE,2,221,TRUE,FALSE,FALSE,90,5,195,48,56,9,2
45,TRUE,180,2243,258,29,629,FALSE,2,325,TRUE,TRUE,FALSE,85,6,154,65,56,10,3
51,TRUE,179,2528,231,33,507,FALSE,4,317,TRUE,TRUE,FALSE,88,6,120,63,25,5,4
27,FALSE,180,1769,164,105,488,TRUE,1,231,FALSE,FALSE,TRUE,86,10,77,56,43,7,4
51,TRUE,65,1580,343,18,454,TRUE,3,296,FALSE,FALSE,TRUE,85,10,229,53,47,6,5
42,TRUE,82,1580,373,125,492,FALSE,3,285,TRUE,TRUE,TRUE,89,7,214,54,37,10,6
38,FALSE,177,1694,235,67,624,FALSE,4,320,FALSE,TRUE,FALSE,94,2,208,51,73,7,6
51,FALSE,48,1901,278,198,599,FALSE,5,203,TRUE,TRUE,TRUE,98,9,84,46,34,6,4
40,TRUE,68,1681,232,227,459,TRUE,3,219,TRUE,FALSE,TRUE,79,7,237,49,34,5,5
52,FALSE,194,2592,375,22,478,FALSE,4,312,TRUE,TRUE,TRUE,100,10,88,64,72,8,3
29,TRUE,175,2397,265,124,511,FALSE,3,226,FALSE,FALSE,TRUE,86,3,144,66,50,8,5
38,TRUE,137,2177,362,181,564,FALSE,5,269,FALSE,TRUE,TRUE,81,8,224,60,85,5,6
42,FALSE,138,2039,186,116,456,FALSE,4,260,FALSE,TRUE,TRUE,71,9,130,45,58,9,4
26,TRUE,190,2126,390,153,590,FALSE,3,273,TRUE,FALSE,FALSE,100,5,177,65,44,1,2
44,TRUE,61,1753,197,29,475,FALSE,1,304,FALSE,FALSE,TRUE,84,8,185,50,73,4,5
40,TRUE,96,2138,381,154,601,FALSE,2,287,FALSE,TRUE,FALSE,99,7,100,53,65,8,5
50,FALSE,110,1767,296,155,499,TRUE,5,200,FALSE,TRUE,TRUE,70,3,243,55,62,4,4
51,FALSE,160,1839,239,195,484,FALSE,3,249,FALSE,FALSE,FALSE,97,2,229,62,46,4,3
33,TRUE,159,2428,315,219,572,TRUE,5,299,TRUE,FALSE,FALSE,73,2,164,45,50,7,6
39,TRUE,119,2362,347,167,505,FALSE,3,268,TRUE,FALSE,FALSE,76,9,108,57,38,2,6
40,TRUE,186,1798,246,104,500,TRUE,4,202,TRUE,FALSE,FALSE,76,1,220,49,68,10,4
55,TRUE,56,1688,264,170,502,FALSE,3,241,TRUE,TRUE,TRUE,90,10,182,66,22,1,4
24,FALSE,104,1879,179,113,470,FALSE,3,211,FALSE,FALSE,TRUE,73,2,242,59,22,7,4
32,TRUE,133,2299,151,115,487,TRUE,4,311,FALSE,TRUE,FALSE,77,2,112,58,32,10,6
42,TRUE,115,1654,151,41,536,FALSE,2,294,TRUE,TRUE,TRUE,74,4,240,58,36,7,5
52,TRUE,48,1537,235,55,532,FALSE,4,213,TRUE,FALSE,TRUE,97,10,116,50,64,1,5
34,TRUE,112,2230,154,53,500,FALSE,3,229,FALSE,FALSE,TRUE,97,10,109,52,84,6,6
39,TRUE,149,2340,276,213,541,TRUE,2,271,FALSE,FALSE,TRUE,73,3,208,64,34,2,5
33,FALSE,185,2370,292,22,621,FALSE,5,208,TRUE,FALSE,FALSE,97,1,243,54,25,5,2
54,FALSE,185,2588,206,104,516,TRUE,5,297,TRUE,TRUE,TRUE,72,9,162,47,47,5,5
50,FALSE,148,2459,300,143,587,TRUE,1,322,FALSE,TRUE,FALSE,79,10,174,65,27,1,6
27,FALSE,43,2011,203,39,489,TRUE,5,299,FALSE,TRUE,TRUE,78,3,199,63,37,2,2
27,FALSE,60,1573,272,29,591,TRUE,3,276,FALSE,TRUE,TRUE,95,9,156,59,75,10,5
46,TRUE,65,2262,302,60,619,TRUE,2,292,TRUE,TRUE,TRUE,75,8,184,45,51,4,2
47,TRUE,56,2110,215,227,508,TRUE,2,295,TRUE,FALSE,TRUE,80,10,129,49,33,5,3
25,FALSE,65,2551,319,166,467,TRUE,4,314,FALSE,TRUE,TRUE,81,4,177,57,52,6,5
30,TRUE,55,2160,349,170,562,TRUE,5,290,TRUE,FALSE,TRUE,83,2,92,64,53,1,6
23,FALSE,89,2227,158,94,454,FALSE,2,222,FALSE,TRUE,FALSE,77,3,133,50,41,1,3
34,TRUE,144,2070,159,129,475,FALSE,4,212,TRUE,TRUE,TRUE,74,8,204,55,20,8,4
54,TRUE,80,1958,210,37,515,FALSE,4,228,TRUE,FALSE,TRUE,84,8,187,62,89,3,6
54,FALSE,54,2498,204,32,542,TRUE,5,223,FALSE,TRUE,TRUE,72,5,120,47,70,4,5
51,FALSE,62,1714,356,59,487,TRUE,4,296,FALSE,TRUE,FALSE,71,9,121,52,87,8,5
31,TRUE,165,1625,171,107,500,FALSE,2,330,FALSE,FALSE,FALSE,71,9,149,57,19,3,4
35,FALSE,121,2198,244,62,549,FALSE,4,201,FALSE,FALSE,FALSE,82,6,221,60,50,10,3
47,TRUE,144,2027,184,173,501,TRUE,2,316,FALSE,FALSE,FALSE,79,1,212,60,57,2,3
49,TRUE,118,2231,217,133,547,FALSE,3,253,FALSE,TRUE,TRUE,92,5,148,56,82,9,2
54,FALSE,170,1736,263,209,542,FALSE,4,245,TRUE,FALSE,FALSE,94,5,190,58,84,3,4
44,TRUE,130,2138,301,143,561,FALSE,2,244,FALSE,TRUE,TRUE,91,4,80,58,69,9,2
36,TRUE,116,1778,154,55,531,TRUE,5,308,FALSE,FALSE,TRUE,85,2,86,62,30,2,4
43,FALSE,180,2530,224,88,483,TRUE,2,225,TRUE,TRUE,FALSE,89,7,196,49,22,9,2
22,TRUE,72,1746,345,48,576,FALSE,5,322,FALSE,FALSE,TRUE,84,5,172,50,69,1,6
45,FALSE,174,1670,169,191,559,FALSE,3,227,FALSE,FALSE,TRUE,70,1,190,55,36,9,3
50,FALSE,42,1911,249,125,630,FALSE,2,253,TRUE,FALSE,FALSE,92,1,112,62,72,9,3
28,FALSE,143,1539,187,106,456,FALSE,4,203,FALSE,TRUE,TRUE,88,3,74,52,35,9,2
38,FALSE,183,2077,242,185,556,TRUE,5,256,TRUE,FALSE,FALSE,85,2,189,53,46,8,5
53,TRUE,196,2225,212,48,505,TRUE,4,325,TRUE,TRUE,FALSE,88,4,97,49,66,4,3
46,FALSE,85,2423,160,181,601,FALSE,3,221,TRUE,TRUE,TRUE,98,4,90,47,71,9,6
50,TRUE,175,1709,284,158,510,FALSE,1,232,TRUE,TRUE,FALSE,87,1,187,56,74,4,6
30,TRUE,67,2068,339,42,567,TRUE,4,317,TRUE,FALSE,FALSE,92,5,187,50,89,6,5
31,FALSE,90,1931,317,188,507,TRUE,2,220,TRUE,FALSE,TRUE,89,6,211,51,89,2,4
40,FALSE,157,1524,205,116,455,FALSE,1,266,FALSE,FALSE,FALSE,87,4,75,63,78,2,4
45,FALSE,120,2531,311,230,530,FALSE,2,305,FALSE,TRUE,FALSE,73,8,187,63,42,4,2
50,TRUE,171,1855,389,184,453,FALSE,5,303,TRUE,FALSE,TRUE,86,10,233,53,63,8,4
52,FALSE,53,2281,181,122,464,FALSE,3,246,TRUE,FALSE,TRUE,86,5,217,66,79,3,4
30,TRUE,175,1787,206,74,540,FALSE,4,327,TRUE,FALSE,FALSE,93,2,154,48,39,6,5
43,TRUE,73,2395,223,163,585,TRUE,4,329,TRUE,FALSE,FALSE,81,4,221,64,30,10,3
48,FALSE,99,1583,232,204,588,FALSE,1,323,TRUE,TRUE,TRUE,97,3,241,65,85,2,6
55,FALSE,183,2280,173,204,585,TRUE,3,260,TRUE,FALSE,TRUE,91,7,170,57,39,9,6
52,TRUE,133,2568,156,143,493,FALSE,4,316,TRUE,TRUE,TRUE,86,7,186,51,46,10,4
29,FALSE,132,1664,295,92,611,FALSE,5,209,TRUE,FALSE,TRUE,88,6,233,58,41,7,4
34,FALSE,113,2323,161,174,581,TRUE,3,292,FALSE,TRUE,FALSE,84,4,104,61,73,4,2
54,TRUE,186,2375,260,84,625,TRUE,4,208,TRUE,FALSE,TRUE,78,2,103,62,40,6,4
29,FALSE,143,2099,248,203,518,FALSE,5,298,FALSE,TRUE,FALSE,78,10,212,58,69,3,5
24,TRUE,59,1868,156,111,488,FALSE,3,222,FALSE,TRUE,TRUE,76,8,89,58,18,9,3
23,TRUE,182,2257,226,97,583,TRUE,1,234,TRUE,FALSE,FALSE,90,4,211,50,64,1,4
55,FALSE,141,2181,346,75,537,TRUE,1,248,TRUE,FALSE,FALSE,87,8,198,58,57,2,2
29,FALSE,44,1613,318,43,591,FALSE,3,309,TRUE,TRUE,FALSE,80,9,146,66,33,2,2
24,FALSE,99,1841,253,82,493,TRUE,1,329,FALSE,TRUE,FALSE,70,5,188,56,85,10,5
30,TRUE,168,2118,316,154,627,FALSE,3,324,FALSE,TRUE,TRUE,84,9,159,49,78,8,2
46,FALSE,47,2190,334,77,568,FALSE,3,233,TRUE,TRUE,TRUE,77,10,103,49,41,6,3
31,FALSE,117,2504,358,207,465,TRUE,5,252,FALSE,TRUE,TRUE,91,7,137,45,28,10,2
43,TRUE,188,1942,333,90,548,FALSE,1,261,FALSE,FALSE,FALSE,83,1,149,59,78,4,4
37,TRUE,155,1522,349,162,495,TRUE,4,207,TRUE,TRUE,FALSE,95,7,160,57,43,4,3
50,TRUE,78,1868,389,79,485,,1,244,TRUE,FALSE,FALSE,90,10,197,57,28,4,4
52,TRUE,45,2247,373,173,605,TRUE,3,288,FALSE,FALSE,TRUE,75,1,194,55,57,5,3
52,FALSE,125,2545,310,162,614,FALSE,4,317,TRUE,FALSE,TRUE,98,10,160,66,78,9,5
32,FALSE,177,2554,352,41,561,TRUE,3,232,FALSE,FALSE,TRUE,85,2,189,60,18,2,3
27,TRUE,199,2168,391,97,568,TRUE,1,212,TRUE,TRUE,FALSE,94,2,110,47,80,3,4
33,TRUE,129,2524,183,174,530,FALSE,3,326,FALSE,TRUE,TRUE,70,4,91,51,44,10,5
26,FALSE,108,2537,218,52,528,FALSE,4,246,TRUE,TRUE,TRUE,95,7,86,51,22,7,2
41,FALSE,171,1913,267,154,455,TRUE,2,297,TRUE,FALSE,TRUE,78,4,157,56,21,9,5
28,TRUE,69,2544,171,67,516,TRUE,3,220,TRUE,FALSE,TRUE,95,8,120,58,64,3,3
51,TRUE,180,2199,195,225,514,FALSE,5,321,TRUE,TRUE,FALSE,84,8,153,55,34,8,6
34,FALSE,146,1942,304,112,585,FALSE,4,324,FALSE,FALSE,TRUE,92,3,238,61,89,1,4
40,TRUE,114,2223,198,179,627,FALSE,1,251,TRUE,FALSE,TRUE,82,5,235,52,46,6,2
38,FALSE,95,1778,155,204,606,TRUE,4,267,TRUE,TRUE,FALSE,84,1,182,64,67,8,2
49,FALSE,124,1645,340,112,542,FALSE,2,219,FALSE,FALSE,FALSE,95,3,140,53,56,1,6
50,TRUE,122,1727,158,137,541,TRUE,4,260,TRUE,FALSE,TRUE,81,4,135,59,40,7,4
51,FALSE,59,1595,388,91,601,TRUE,4,320,FALSE,FALSE,FALSE,73,3,140,56,22,2,5
23,FALSE,125,1571,340,39,456,TRUE,5,295,FALSE,TRUE,FALSE,76,2,187,48,32,9,3
36,FALSE,122,2337,400,29,518,TRUE,4,248,TRUE,FALSE,TRUE,78,1,246,52,59,3,6
31,FALSE,101,1625,320,170,458,FALSE,1,202,TRUE,TRUE,FALSE,80,10,78,66,80,3,5
43,TRUE,82,2249,341,227,488,FALSE,4,242,TRUE,TRUE,TRUE,73,1,210,51,38,2,2
31,TRUE,112,2417,283,220,527,TRUE,4,271,FALSE,TRUE,FALSE,83,5,177,54,44,8,6
52,TRUE,91,2033,163,18,520,TRUE,5,324,FALSE,FALSE,FALSE,92,2,174,47,59,3,4
54,FALSE,89,2140,165,228,608,FALSE,3,312,TRUE,TRUE,FALSE,84,6,192,51,25,2,4
20,TRUE,145,2109,195,134,583,FALSE,4,289,FALSE,TRUE,FALSE,82,3,197,56,26,2,2
27,TRUE,74,2128,391,196,614,FALSE,3,298,FALSE,FALSE,TRUE,79,6,160,53,43,6,5
41,TRUE,68,1803,198,53,501,FALSE,1,293,FALSE,FALSE,FALSE,88,1,228,50,82,9,2
24,TRUE,154,1515,229,155,475,TRUE,4,312,FALSE,TRUE,FALSE,87,6,176,51,20,5,2
49,TRUE,184,1810,387,88,576,FALSE,3,256,FALSE,TRUE,FALSE,73,9,171,64,18,6,2
55,TRUE,54,1884,190,139,602,TRUE,5,262,TRUE,TRUE,TRUE,82,8,130,60,31,6,2
27,FALSE,177,2253,356,107,455,TRUE,4,262,FALSE,TRUE,TRUE,88,9,169,59,22,9,4
40,TRUE,147,2185,190,66,557,TRUE,2,296,TRUE,TRUE,FALSE,82,7,242,49,65,5,2
55,TRUE,115,2412,259,43,459,TRUE,2,319,FALSE,FALSE,FALSE,77,5,135,62,85,10,6
37,FALSE,112,1987,205,16,570,TRUE,4,311,TRUE,TRUE,FALSE,97,2,119,50,60,9,6
55,FALSE,85,2523,230,211,626,TRUE,1,257,TRUE,TRUE,FALSE,87,3,227,50,77,6,4
51,FALSE,109,2531,359,60,558,,3,248,FALSE,TRUE,FALSE,96,10,141,53,65,2,2
30,TRUE,43,2366,171,188,553,FALSE,3,226,FALSE,TRUE,FALSE,85,8,242,50,87,9,4
44,TRUE,137,1875,389,23,535,TRUE,4,233,FALSE,TRUE,FALSE,71,10,75,57,40,9,4
48,TRUE,161,2344,319,98,521,FALSE,5,274,TRUE,FALSE,FALSE,73,4,137,63,27,6,3
27,FALSE,69,2117,390,140,567,FALSE,3,324,TRUE,FALSE,TRUE,92,10,176,52,76,3,4
33,FALSE,139,2204,373,36,482,TRUE,2,277,TRUE,TRUE,TRUE,83,1,154,45,53,2,4
49,FALSE,68,2041,271,202,552,FALSE,2,269,TRUE,TRUE,FALSE,79,1,104,48,15,10,4
52,FALSE,51,2146,242,109,584,TRUE,1,281,TRUE,TRUE,FALSE,89,10,134,65,72,9,5
22,FALSE,86,2537,351,218,552,FALSE,1,227,FALSE,FALSE,TRUE,71,7,191,59,86,2,2
42,TRUE,59,2123,321,102,628,FALSE,4,238,FALSE,FALSE,TRUE,99,5,110,57,23,6,2
29,TRUE,198,1767,358,27,564,FALSE,4,288,TRUE,FALSE,FALSE,70,10,164,58,26,8,4
51,TRUE,189,1938,330,225,590,FALSE,5,269,FALSE,TRUE,FALSE,89,7,95,52,16,9,3
20,TRUE,145,1778,350,228,611,FALSE,4,267,TRUE,TRUE,FALSE,79,3,148,66,29,2,2
34,TRUE,78,1648,259,209,563,TRUE,2,210,FALSE,TRUE,FALSE,97,1,94,51,65,9,4
25,FALSE,83,2094,192,75,525,FALSE,2,228,FALSE,FALSE,FALSE,74,4,76,51,69,5,2
54,TRUE,109,2252,216,66,471,FALSE,3,236,TRUE,TRUE,FALSE,81,5,243,49,29,6,3
47,TRUE,55,1726,311,137,482,TRUE,4,309,TRUE,TRUE,FALSE,79,6,168,58,57,10,4
34,FALSE,199,2205,335,16,612,,1,203,TRUE,TRUE,TRUE,89,5,119,59,64,10,2
20,FALSE,185,2260,317,135,544,FALSE,3,324,TRUE,FALSE,TRUE,88,5,104,50,60,9,3
52,FALSE,64,1713,332,111,507,,4,216,TRUE,TRUE,TRUE,81,6,156,53,30,5,5
21,FALSE,59,2450,356,70,559,FALSE,1,310,FALSE,FALSE,FALSE,71,6,175,56,67,7,5
48,TRUE,100,1517,160,127,624,TRUE,1,274,TRUE,TRUE,TRUE,93,1,207,64,54,5,4
38,FALSE,126,2440,216,105,626,TRUE,5,218,TRUE,TRUE,FALSE,79,9,125,60,28,4,5
34,TRUE,117,1863,262,33,511,TRUE,3,296,FALSE,TRUE,FALSE,79,8,135,48,55,6,4
51,TRUE,101,2313,274,227,620,FALSE,2,253,TRUE,FALSE,FALSE,85,6,82,56,70,2,2
28,FALSE,128,2324,261,206,526,TRUE,5,269,FALSE,TRUE,TRUE,91,2,110,48,39,6,5
44,FALSE,153,2304,165,103,567,FALSE,3,230,FALSE,TRUE,TRUE,83,8,212,52,76,2,2
37,FALSE,87,2468,200,229,459,TRUE,4,273,FALSE,FALSE,TRUE,96,4,92,59,35,5,2
48,FALSE,110,2184,325,137,593,FALSE,3,323,TRUE,TRUE,TRUE,74,9,141,57,57,1,5
